Nombre,Artista,Popularidad,Duración (min)
A Bar Song (Tipsy),Shaboozey,87,2:51
Please Please Please,Sabrina Carpenter,98,3:06
Not Like Us,Kendrick Lamar,96,4:34
I Had Some Help (Feat. Morgan Wallen),Post Malone,95,2:58
Espresso,Sabrina Carpenter,100,2:55
"Good Luck, Babe!",Chappell Roan,94,3:38
BIRDS OF A FEATHER,Billie Eilish,98,3:30
MILLION DOLLAR BABY,Tommy Richman,94,2:35
Party In The U.S.A.,Miley Cyrus,81,3:22
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,74,3:15
Born in the U.S.A.,Bruce Springsteen,76,4:38
28,Zach Bryan,67,3:53
American Nights,Zach Bryan,66,3:38
The Great American Bar Scene,Zach Bryan,66,3:36
Mechanical Bull,Zach Bryan,66,3:28
HOT TO GO!,Chappell Roan,88,3:04
Too Sweet,Hozier,89,4:11
Oak Island,Zach Bryan,65,3:59
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,88,3:47
Beautiful Things,Benson Boone,91,3:00
Tough,Quavo,76,3:08
American Girl,Tom Petty and the Heartbreakers,72,3:34
Pink Skies,Zach Bryan,89,3:14
Firework,Katy Perry,71,3:47
DEVIL IS A LIE,Tommy Richman,86,2:10
Better Days (feat. John Mayer),Zach Bryan,63,3:32
Last Night,Morgan Wallen,84,2:43
Cowgirls (feat. ERNEST),Morgan Wallen,86,3:01
Brown Eyed Girl,Van Morrison,85,3:03
Rich Girl,Daryl Hall & John Oates,83,2:22
Lucky Enough (Poem),Zach Bryan,64,2:42
Chicken Fried,Zac Brown Band,78,3:58
Like That,Future,91,4:27
Purple Gas,Zach Bryan,63,3:00
LUNCH,Billie Eilish,95,2:59
The Way Back,Zach Bryan,64,3:05
Boons,Zach Bryan,64,3:05
Red Wine Supernova,Chappell Roan,87,3:12
Heading South,Zach Bryan,85,2:51
Smeraldo Garden Marching Band (feat. Loco),Jimin,90,3:02
Fortunate Son,Creedence Clearwater Revival,85,2:20
Something in the Orange,Zach Bryan,86,3:48
American Kids,Kenny Chesney,76,3:02
American Pie,Don McLean,76,8:36
Pour Me A Drink (Feat. Blake Shelton),Post Malone,85,3:15
Memphis; The Blues (feat. John Moreland),Zach Bryan,63,3:09
Sweet Home Alabama,Lynyrd Skynyrd,81,4:43
Houdini,Eminem,94,3:47
Fast Car,Luke Combs,85,4:25
Stick Season,Noah Kahan,90,3:02
