nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
Espresso,Sabrina Carpenter,1,2024-07-10,2024-04-12,99
Please Please Please,Sabrina Carpenter,2,2024-07-10,2024-06-06,98
BIRDS OF A FEATHER,Billie Eilish,3,2024-07-10,2024-05-17,98
"Good Luck, Babe!",Chappell Roan,4,2024-07-10,2024-04-05,94
A Bar Song (Tipsy),Shaboozey,5,2024-07-10,2024-05-31,86
Too Sweet,Hozier,6,2024-07-10,2024-03-22,89
Stargazing,Myles Smith,7,2024-07-10,2024-05-10,92
Beautiful Things,Benson Boone,8,2024-07-10,2024-04-05,90
Houdini,Eminem,9,2024-07-10,2024-05-31,94
I Had Some Help (Feat. Morgan Wallen),Post Malone,10,2024-07-10,2024-05-10,95
Austin (Boots Stop Workin'),Dasha,11,2024-07-10,2024-02-16,91
MILLION DOLLAR BABY,Tommy Richman,12,2024-07-10,2024-04-26,94
Not Like Us,Kendrick Lamar,13,2024-07-10,2024-05-04,96
Stick Season,Noah Kahan,14,2024-07-10,2022-10-14,90
Lose Control,Teddy Swims,15,2024-07-10,2023-09-15,90
BAND4BAND (feat. Lil Baby),Central Cee,16,2024-07-10,2024-05-23,91
LUNCH,Billie Eilish,17,2024-07-10,2024-05-17,95
Fortnight (feat. Post Malone),Taylor Swift,18,2024-07-10,2024-04-18,91
Slow It Down,Benson Boone,19,2024-07-10,2024-04-05,89
Cruel Summer,Taylor Swift,20,2024-07-10,2019-08-23,92
Belong Together,Mark Ambor,21,2024-07-10,2024-02-16,91
i like the way you kiss me,Artemas,22,2024-07-10,2024-03-19,95
HOT TO GO!,Chappell Roan,23,2024-07-10,2023-09-22,88
DEVIL IS A LIE,Tommy Richman,24,2024-07-10,2024-06-14,86
I Can Do It With a Broken Heart,Taylor Swift,25,2024-07-10,2024-04-18,87
Scared To Start,Michael Marcagi,26,2024-07-10,2024-01-12,88
KEHLANI,Jordan Adetunji,27,2024-07-10,2024-06-24,71
Mr. Brightside,The Killers,28,2024-07-10,2004-01-01,86
NIGHTS LIKE THIS,The Kid LAROI,29,2024-07-10,2023-11-10,84
I Don't Wanna Wait,David Guetta,30,2024-07-10,2024-04-05,90
End of Beginning,Djo,31,2024-07-10,2022-09-16,93
Prada,cassö,32,2024-07-10,2023-08-11,86
As It Was,Harry Styles,33,2024-07-10,2022-05-20,91
Riptide,Vance Joy,34,2024-07-10,2014-09-08,84
we can't be friends (wait for your love),Ariana Grande,35,2024-07-10,2024-03-08,90
360,Charli xcx,36,2024-07-10,2024-06-07,84
CHIHIRO,Billie Eilish,37,2024-07-10,2024-05-17,93
Red Wine Supernova,Chappell Roan,38,2024-07-10,2023-09-22,87
Feather,Sabrina Carpenter,39,2024-07-10,2023-03-17,89
Yellow,Coldplay,40,2024-07-10,2000-07-10,89
Unwritten,Natasha Bedingfield,41,2024-07-10,2004-08-30,87
Viva La Vida,Coldplay,42,2024-07-10,2008-05-26,85
Kisses (feat. bbyclose),BL3SS,43,2024-07-10,2024-03-22,75
Happier (feat. Clementine Douglas),The Blessed Madonna,44,2024-07-10,2024-02-02,75
What You Know,Two Door Cinema Club,45,2024-07-10,2010-02-17,73
Sex on Fire,Kings of Leon,46,2024-07-10,2008-09-23,83
The Night We Met,Lord Huron,47,2024-07-10,2015-04-06,88
The Door,Teddy Swims,48,2024-07-10,2023-09-15,85
feelslikeimfallinginlove,Coldplay,49,2024-07-10,2024-06-21,83
Evergreen,Richy Mitch & The Coal Miners,50,2024-07-10,2017-05-17,87
