nombre,artista,artista_id,reproducciones
REAL GANGSTA LOVE,Trueno,2x7PC78TmgqpEIjaGAZ0Oz,91
Si Antes Te Hubiera Conocido,KAROL G,790FomKkXshlbRYZFtlgla,90
LUNA,Feid,2LRoIwlKmHjgvigdNGBHNo,91
Gata Only,FloyyMenor,7CvTknweLr9feJtRGrpDBy,96
Santa,Rvssian,1fctva4kpRbg2k3v7kwRuS,84
SORRY 4 THAT MUCH,Feid,2LRoIwlKmHjgvigdNGBHNo,87
PARTIDO EN DOS,La Única Tropical,1WUEWZGTvX4AjC2y5PoSDd,70
Mirame,Blessd,1TA5sGRlKUJXBN4ZyJuDIX,82
SI NO ES CONTIGO,Cris Mj,1Yj5Xey7kTwvZla8sqdsdE,88
Piel,Tiago PZK,5Y3MV9DZ0d87NnVm56qSY1,47
La Bachata,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,86
AMARGURA,KAROL G,790FomKkXshlbRYZFtlgla,86
offline,Young Miko,3qsKSpcV3ncke3hw52JSMB,85
PERRO NEGRO,Bad Bunny,4q3ewBCX7sLwd24euuV69X,87
Borro Cassette,Maluma,1r4hJ1h58CWwUQe3MxPuau,82
Brickell,Feid,2LRoIwlKmHjgvigdNGBHNo,84
QLONA,KAROL G,790FomKkXshlbRYZFtlgla,86
APAGA EL CEL,FloyyMenor,7CvTknweLr9feJtRGrpDBy,85
Rara Vez,Taiu,5szJHKg5xeUlQ9pTqzdpic,81
Mamichula - con Nicki Nicole,Trueno,2x7PC78TmgqpEIjaGAZ0Oz,81
Una Vida Pasada,Camilo,28gNT5KBp7IjEOQoevXf9N,76
Feliz Cumpleaños Ferxxo,Feid,2LRoIwlKmHjgvigdNGBHNo,83
LA FALDA,Myke Towers,7iK8PXO48WeuP03g8YR51W,86
Orion,Boza,2NfSBtmWe7oPw1EmetJVso,79
WYA REMIX RED,J Abdiel,17SY5q1CMOZJBRuPcKWwPI,80
Una Foto Remix (feat. Emilia),Mesita,2IKdK6PbitvCiXt1t2bPU6,81
Please Please Please,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,98
Si Esta Casa Hablara,La Única Tropical,1WUEWZGTvX4AjC2y5PoSDd,65
CLASSY 101,Feid,2LRoIwlKmHjgvigdNGBHNo,82
MI EX TENÍA RAZÓN,KAROL G,790FomKkXshlbRYZFtlgla,83
Es un Secreto,Plan B,2jSGzJw0ebJLu7OLVSOcBP,84
Columbia,Quevedo,52iwsT98xCoGgiGntTiR7K,83
Desesperados,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,82
Espresso,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,100
ADIVINO,Myke Towers,7iK8PXO48WeuP03g8YR51W,88
BBY BOO - REMIX,iZaak,4s6Xg38sbqh4xpf4OqhVUK,84
La Curiosidad,Jay Wheeler,2cPqdH7XMvwaBJEVjheH8g,82
GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,5J7rXWjtn5HzUkJ4Jet8Fr,84
Amanece,Anuel AA,2R21vXR83lH98kGeO99Y66,81
Cúrame,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,81
LA CANCIÓN,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,83
"BESAME (feat. Tiago PZK, Khea & Neo Pistea) - Remix",Bhavi,7fT2Me47PQ8T7954PKrcwR,81
Smeraldo Garden Marching Band (feat. Loco),Jimin,1oSPZhvZMIrWW5I41kPkkY,90
Tiroteo - Remix,Marc Seguí,5FQ8tBUtIamA2hRtatrYUF,80
Cuando Te Vi | CROSSOVER #5,Big One,2OhUNb01gLwygOizYvTm0e,76
Normal,Feid,2LRoIwlKmHjgvigdNGBHNo,80
"Perdonarte, ¿Para Qué?",Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,83
Cual Adios,La Única Tropical,1WUEWZGTvX4AjC2y5PoSDd,62
Según Quién,Maluma,1r4hJ1h58CWwUQe3MxPuau,82
"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",Sevdaliza,5MraexJKZDrQYzS98kNwie,84
