titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
"Feid, ATL Jacob - LUNA (Letra/Lyrics)",Caribbean Breeze,1,2024-07-10,2024-07-02,2504945
"Maria Becerra, Trueno, Big One - Cuando Te Vi | CROSSOVER #5",Big One,2,2024-07-10,2024-06-28,16906779
Pendejerete - Leslie Shaw  @Armonia10.Oficial   (Video Oficial),Leslie Shaw,3,2024-07-10,2024-06-29,770190
KAROL G - Si Antes Te Hubiera Conocido | Coke Studio,KarolGVEVO,4,2024-07-10,2024-06-25,21775298
LISA - ROCKSTAR (Official Music Video),LLOUD Official,5,2024-07-10,2024-06-28,97008439
Corazón Serrano - Empecemos De Cero (Video Oficial),Corazón Serrano,6,2024-07-10,2024-07-06,224900
SEVDALIZA - ALIBI FT. PABLLO VITTAR & YSEULT (OFFICIAL MUSIC VIDEO),Sevdaliza,7,2024-07-10,2024-06-28,13521294
"Myke Towers, Renn, Nio García, Yexel - MAQUILLAJE (Remix) Official Video",Myke Towers,8,2024-07-10,2024-07-02,2861523
Romeo Santos - Imitadora (Letra/Lyrics),Eterna Vida,9,2024-07-10,2024-07-02,758505
"Tiago PZK, Manuel Turizo - De Vuelta (Video Oficial)",Tiago PZK,10,2024-07-10,2024-07-05,1176905
"Anuel AA, Ozuna,  DJ Luian, Mambo Kingz - Razones (Video Oficial)",Anuel AA,11,2024-07-10,2024-06-28,22023765
"Tiago PZK, Duki - RCP (Visualizer)",Tiago PZK,12,2024-07-10,2024-07-05,914371
Tiago PZK - Adicción (Visualizer),Tiago PZK,13,2024-07-10,2024-07-05,535602
"WYA REMIX BLACK AND YELLOW ⚫️🟡 - (Video Oficial) J Abdiel, Anuel AA, Blessd, Izaak & Pirlo",J abdiel,14,2024-07-10,2024-06-25,7950384
♫ Agrupación Russkaya - Tu Ausencia 💙 (Video Clip 2024) Cumbia Sureña - Oficial,Agrupación Russkaya,15,2024-07-10,2024-07-05,103451
Trueno - REAL GANGSTA LOVE (Letra/Lyrics),RegionalOnly,16,2024-07-10,2024-07-01,582851
"Alex Ponce, Lasso, Sebastian Llosa - Ve y Diles V2 (Remix) [Video Oficial]",Alex Ponce,17,2024-07-10,2024-06-28,1073581
지민 (Jimin) 'Smeraldo Garden Marching Band (feat. Loco)' Official Track Video,HYBE LABELS,18,2024-07-10,2024-06-28,14808143
BABYMONSTER - ‘FOREVER’ M/V,BABYMONSTER,19,2024-07-10,2024-06-30,53449990
Kendrick Lamar - Not Like Us,KendrickLamarVEVO,20,2024-07-10,2024-07-04,41928076
Kapo – Ohnana [Letra],Latin Union,21,2024-07-10,2024-07-04,454709
💔 Julieta Venegas - Me Voy (Letra),Stay Retro,22,2024-07-10,2024-06-26,892797
LISA - ROCKSTAR Dance Practice Video,LLOUD Official,23,2024-07-10,2024-07-09,4396825
KAROL G - Si Antes Te Hubiera Conocido Remix - Dj Francisco Freites,Dj Francisco Freites,24,2024-07-10,2024-06-24,455416
💔 Camila - Mientes (Letra),Stay Retro,25,2024-07-10,2024-06-30,215957
Greeicy - A Veces A Besos (Official Video),GreeicyVEVO,26,2024-07-10,2024-06-21,6972018
TWICE「DIVE」Music Video,TWICE JAPAN OFFICIAL YouTube Channel,27,2024-07-10,2024-07-09,2069447
TitoTrack #01 || Snoop Dogg x Jeanette  - Pq' Te Vas / Drop It Like It's Hot (Music Video),Tito Silva Music,28,2024-07-10,2024-06-24,6042302
MI VIDA ERA TRISTE - GRUPO AMOR Y PASION (Primicia Julio 2024) Video Clip Oficial 4K,GRUPO AMOR Y PASION,29,2024-07-10,2024-07-06,47414
"Rvssian, Rauw Alejandro, Ayra Starr - Santa (Letra/Lyrics)",Rock Vivo,30,2024-07-10,2024-06-24,394167
